Place,Player,PDGA,Total,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,Total Points,Events Played,Top 20s,Top 10s,Top 3s,Wins,Avg Finish,Rounds,HolesCounted,Ace Points,Albatross Points,Eagle Points,Birdie Points,Bogey+ Points,Place Points
1,Gannon Buhr,75412,-11,0,0,0,17,32,5,62,1,1,1,1,1,1,3,54,0,0,0,17,-5,50
2,Richard Wysocki,38008,-11,0,0,1,17,28,8,44,1,1,1,1,0,2,3,54,0,0,5,17,-8,30
3,Isaac Robinson,50670,-8,0,0,0,16,31,7,39,1,1,1,1,0,3,3,54,0,0,0,16,-7,30
4,Luke Taylor,102119,-7,1,0,1,14,31,8,41,1,1,1,0,0,4,3,54,10,0,5,14,-8,20
5,Joseph Anderson,122356,-6,0,0,0,15,32,7,28,1,1,1,0,0,5,3,54,0,0,0,15,-7,20
6,Chris Dickerson,62467,-5,0,0,0,12,36,6,26,1,1,1,0,0,6,3,54,0,0,0,12,-6,20
7,Ty Love,89959,-3,0,0,0,14,32,8,26,1,1,1,0,0,7,3,54,0,0,0,14,-8,20
8,Aaron Gossage,35449,-2,0,0,0,13,31,10,23,1,1,1,0,0,8,3,54,0,0,0,13,-10,20
T9,Adam Hammes,57365,-1,0,0,0,15,27,12,23,1,1,1,0,0,9,3,54,0,0,0,15,-12,20
T9,Matthew Orum,18330,-1,0,0,0,11,36,7,24,1,1,1,0,0,9,3,54,0,0,0,11,-7,20
11,Casey White,81739,0,0,0,0,10,35,9,11,1,1,0,0,0,11,3,54,0,0,0,10,-9,10
T12,Andrew Marwede,75590,1,0,0,0,10,34,10,10,1,1,0,0,0,12,3,54,0,0,0,10,-10,10
T12,Gavin Phillips,119504,1,0,0,0,13,30,11,12,1,1,0,0,0,12,3,54,0,0,0,13,-11,10
T12,Raven Newsom,88212,1,0,0,0,10,34,10,10,1,1,0,0,0,12,3,54,0,0,0,10,-10,10
T15,Jaden Rye,153363,2,0,0,0,11,30,13,8,1,1,0,0,0,15,3,54,0,0,0,11,-13,10
T15,Jakub Semerád,91925,2,0,0,0,10,36,8,12,1,1,0,0,0,15,3,54,0,0,0,10,-8,10
T15,Silas Schultz,79047,2,0,0,0,9,36,9,10,1,1,0,0,0,15,3,54,0,0,0,9,-9,10
T18,Eagle McMahon,37817,3,0,0,0,11,32,11,10,1,1,0,0,0,18,3,54,0,0,0,11,-11,10
T18,Elijah Bickel,94844,3,0,0,0,11,32,11,10,1,1,0,0,0,18,3,54,0,0,0,11,-11,10
T18,Ezra Robinson,50671,3,0,0,0,14,26,14,10,1,1,0,0,0,18,3,54,0,0,0,14,-14,10
T21,Austen Bates,130724,4,0,0,0,9,33,12,-3,1,0,0,0,0,21,3,54,0,0,0,9,-12,0
T21,Calvin Heimburg,45971,4,0,0,0,10,33,11,-1,1,0,0,0,0,21,3,54,0,0,0,10,-11,0
T21,Fredy Meza,100497,4,0,0,0,11,31,12,-1,1,0,0,0,0,21,3,54,0,0,0,11,-12,0
T21,Luke Humphries,69424,4,0,0,0,11,30,13,-2,1,0,0,0,0,21,3,54,0,0,0,11,-13,0
T21,Parker Welck,39491,4,0,0,0,13,28,13,0,1,0,0,0,0,21,3,54,0,0,0,13,-13,0
T21,Paul Krans,132521,4,0,0,0,8,36,10,-2,1,0,0,0,0,21,3,54,0,0,0,8,-10,0
T21,Simon Lizotte,8332,4,0,0,0,9,33,12,-3,1,0,0,0,0,21,3,54,0,0,0,9,-12,0
T21,Sullivan Tipton,78817,4,0,0,0,8,36,10,-2,1,0,0,0,0,21,3,54,0,0,0,8,-10,0
29,Zachary Nash,101197,5,0,0,0,13,26,15,-2,1,0,0,0,0,29,3,54,0,0,0,13,-15,0
T30,Harry Chace,131546,6,0,0,0,11,29,14,-3,1,0,0,0,0,30,3,54,0,0,0,11,-14,0
T30,Jake Hebenheimer,43762,6,0,0,0,7,34,13,-6,1,0,0,0,0,30,3,54,0,0,0,7,-13,0
T30,James Conrad,17295,6,0,0,0,14,26,14,0,1,0,0,0,0,30,3,54,0,0,0,14,-14,0
T33,Anthony Barela,44382,7,0,0,0,11,31,12,-1,1,0,0,0,0,33,3,54,0,0,0,11,-12,0
T33,Chandler Kramer,139228,7,0,0,0,8,34,12,-4,1,0,0,0,0,33,3,54,0,0,0,8,-12,0
T33,Evan Smith,101574,7,0,0,0,8,33,13,-5,1,0,0,0,0,33,3,54,0,0,0,8,-13,0
T33,Garrett Gurthie,13864,7,0,0,0,7,35,12,-5,1,0,0,0,0,33,3,54,0,0,0,7,-12,0
37,Robert Burridge,96512,8,0,0,0,6,37,11,-5,1,0,0,0,0,37,3,54,0,0,0,6,-11,0
T38,Bradley Williams,31644,9,0,0,0,10,30,14,-4,1,0,0,0,0,38,3,54,0,0,0,10,-14,0
T38,Mason Ford,72844,9,0,0,0,7,35,12,-5,1,0,0,0,0,38,3,54,0,0,0,7,-12,0
40,Sylus Williams,131330,10,0,0,0,8,29,17,-9,1,0,0,0,0,40,3,54,0,0,0,8,-17,0
T41,Braeden Sides,129963,11,0,0,0,9,29,16,-7,1,0,0,0,0,41,3,54,0,0,0,9,-16,0
T41,Chris Clemons,50401,11,0,0,0,6,34,14,-8,1,0,0,0,0,41,3,54,0,0,0,6,-14,0
T41,Evan Scott,89394,11,0,0,0,6,34,14,-8,1,0,0,0,0,41,3,54,0,0,0,6,-14,0
T41,Ezra Aderhold,121715,11,0,0,0,11,27,16,-5,1,0,0,0,0,41,3,54,0,0,0,11,-16,0
T41,Jake Monn,98722,11,0,0,0,10,28,16,-6,1,0,0,0,0,41,3,54,0,0,0,10,-16,0
T41,Jonathan Borzick,119794,11,0,0,0,6,34,14,-8,1,0,0,0,0,41,3,54,0,0,0,6,-14,0
T41,Kyle Klein,85132,11,0,0,0,9,27,18,-9,1,0,0,0,0,41,3,54,0,0,0,9,-18,0
T41,Luke Samson,59419,11,0,0,0,7,30,17,-10,1,0,0,0,0,41,3,54,0,0,0,7,-17,0
T41,Paul Ulibarri,27171,11,0,0,0,5,35,14,-9,1,0,0,0,0,41,3,54,0,0,0,5,-14,0
T50,Austin Turner,54049,12,0,0,0,7,31,16,-9,1,0,0,0,0,50,3,54,0,0,0,7,-16,0
T50,J.J. Campbell,170839,12,0,0,0,9,29,16,-7,1,0,0,0,0,50,3,54,0,0,0,9,-16,0
T52,Dallas Garber,138089,13,0,0,0,9,30,15,-6,1,0,0,0,0,52,3,54,0,0,0,9,-15,0
T52,Nathan Queen,68286,13,0,0,0,5,32,17,-12,1,0,0,0,0,52,3,54,0,0,0,5,-17,0
T54,Bo McLaughlin,87143,14,0,0,0,10,28,16,-6,1,0,0,0,0,54,3,54,0,0,0,10,-16,0
T54,G.T. Hancock,49885,14,0,0,0,7,32,15,-8,1,0,0,0,0,54,3,54,0,0,0,7,-15,0
T54,Kevin Jones,41760,14,0,0,0,5,34,15,-10,1,0,0,0,0,54,3,54,0,0,0,5,-15,0
T57,Albert Tamm,76669,15,0,0,0,8,27,19,-11,1,0,0,0,0,57,3,54,0,0,0,8,-19,0
T57,Alden Harris,98091,15,0,0,0,5,35,14,-9,1,0,0,0,0,57,3,54,0,0,0,5,-14,0
T57,Harper Thompson,60259,15,0,0,0,8,27,19,-11,1,0,0,0,0,57,3,54,0,0,0,8,-19,0
T60,Gavin Babcock,80331,16,0,0,0,5,31,18,-13,1,0,0,0,0,60,3,54,0,0,0,5,-18,0
T60,Zach Arlinghaus,65266,16,0,0,0,4,35,15,-11,1,0,0,0,0,60,3,54,0,0,0,4,-15,0
T62,Brandon Green,240431,17,0,0,0,6,30,18,-12,1,0,0,0,0,62,3,54,0,0,0,6,-18,0
T62,Jamie Kiep,68815,17,0,0,0,7,26,21,-14,1,0,0,0,0,62,3,54,0,0,0,7,-21,0
T64,Brandon Brown,87673,19,0,0,0,2,34,18,-16,1,0,0,0,0,64,3,54,0,0,0,2,-18,0
T64,Clay Edwards,91397,19,0,0,0,3,32,19,-16,1,0,0,0,0,64,3,54,0,0,0,3,-19,0
T64,Logan Plake,76846,19,0,0,0,5,34,15,-10,1,0,0,0,0,64,3,54,0,0,0,5,-15,0
67,Thunder Schultz,56016,20,0,0,0,0,35,19,-19,1,0,0,0,0,67,3,54,0,0,0,0,-19,0
T68,Bradley Baumgardner,253857,21,0,0,0,6,24,24,-18,1,0,0,0,0,68,3,54,0,0,0,6,-24,0
T68,Wyatt Mahoney,89460,21,0,0,0,5,29,20,-15,1,0,0,0,0,68,3,54,0,0,0,5,-20,0
T70,Aidan Scott,99246,22,0,0,0,6,25,23,-17,1,0,0,0,0,70,3,54,0,0,0,6,-23,0
T70,Calvin Lonnquist,145206,22,0,0,0,6,26,22,-16,1,0,0,0,0,70,3,54,0,0,0,6,-22,0
T72,Eric Oakley,53565,23,0,0,0,9,20,25,-16,1,0,0,0,0,72,3,54,0,0,0,9,-25,0
T72,Jacob Blair,52785,23,0,0,0,3,27,24,-21,1,0,0,0,0,72,3,54,0,0,0,3,-24,0
T72,Jacob Courtis,56511,23,0,0,0,6,27,21,-15,1,0,0,0,0,72,3,54,0,0,0,6,-21,0
75,Chad Sherbert,61977,24,0,0,0,5,27,22,-17,1,0,0,0,0,75,3,54,0,0,0,5,-22,0
T76,Connor O'Reilly,99648,25,0,0,0,6,26,22,-16,1,0,0,0,0,76,3,54,0,0,0,6,-22,0
T76,Joshua Patin,56037,25,0,0,0,4,28,22,-18,1,0,0,0,0,76,3,54,0,0,0,4,-22,0
T76,Matt Bell,48950,25,0,0,0,3,32,19,-16,1,0,0,0,0,76,3,54,0,0,0,3,-19,0
T79,Brenden Koontz,138655,26,0,0,0,3,31,20,-17,1,0,0,0,0,79,3,54,0,0,0,3,-20,0
T79,Hayden Frederiksen,205985,26,0,0,0,7,26,21,-14,1,0,0,0,0,79,3,54,0,0,0,7,-21,0
81,Parker Austin,165881,27,0,0,0,5,28,21,-16,1,0,0,0,0,81,3,54,0,0,0,5,-21,0
82,Nate Corder,44800,28,0,0,0,1,31,22,-21,1,0,0,0,0,82,3,54,0,0,0,1,-22,0
83,Garrett D. Knox,150052,29,0,0,0,1,30,23,-22,1,0,0,0,0,83,3,54,0,0,0,1,-23,0
T84,Joey Temali,100818,32,0,0,0,1,28,25,-24,1,0,0,0,0,84,3,54,0,0,0,1,-25,0
T84,Logan Weiss,43210,32,0,0,0,2,27,25,-23,1,0,0,0,0,84,3,54,0,0,0,2,-25,0
T86,Connor King,180719,33,0,0,0,5,23,26,-21,1,0,0,0,0,86,3,54,0,0,0,5,-26,0
T86,Eli Swansen,128050,33,0,0,0,4,25,25,-21,1,0,0,0,0,86,3,54,0,0,0,4,-25,0
T88,Micah Rousse,178069,34,0,0,0,4,21,29,-25,1,0,0,0,0,88,3,54,0,0,0,4,-29,0
T88,Trevon Crowe,67172,34,0,0,0,3,25,26,-23,1,0,0,0,0,88,3,54,0,0,0,3,-26,0
90,Noah Fiveash,99153,35,0,0,0,5,20,29,-24,1,0,0,0,0,90,3,54,0,0,0,5,-29,0
91,James Bennett,93274,36,0,0,0,4,26,24,-20,1,0,0,0,0,91,3,54,0,0,0,4,-24,0
92,Woods McCue,187773,37,0,0,0,2,21,31,-29,1,0,0,0,0,92,3,54,0,0,0,2,-31,0
T93,Isaac Chance,198295,39,0,0,0,4,21,29,-25,1,0,0,0,0,93,3,54,0,0,0,4,-29,0
T93,Joseph Carey,73855,39,0,0,0,1,27,26,-25,1,0,0,0,0,93,3,54,0,0,0,1,-26,0
T95,Jay Minton,145623,40,0,0,0,1,24,29,-28,1,0,0,0,0,95,3,54,0,0,0,1,-29,0
T95,Mickey Welsh,166089,40,0,0,0,0,23,31,-31,1,0,0,0,0,95,3,54,0,0,0,0,-31,0
97,Matthew Brown,175222,43,0,0,0,1,22,31,-30,1,0,0,0,0,97,3,54,0,0,0,1,-31,0
98,John Fowler,6520,48,0,0,0,0,23,31,-31,1,0,0,0,0,98,3,54,0,0,0,0,-31,0
99,Lucas Carmichael,151146,19,0,0,0,3,18,33,-30,1,0,0,0,0,99,3,54,0,0,0,3,-33,0
