Player,Total,Rounds,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,HolesCounted,Place,Ace Points,Albatross Points,Eagle Points,Birdie Points,Bogey+ Points,Place Points,Total Points
Richard Wysocki,-24,3,0,0,2,23,26,3,54,1,0,0,10,23,-3,50,80
Gannon Buhr,-23,3,0,0,1,27,22,4,54,2,0,0,5,27,-4,30,58
Paul Mc Beth,-21,3,0,0,0,28,21,5,54,3,0,0,0,28,-5,30,53
Kyle Klein,-20,3,0,0,0,28,18,8,54,4,0,0,0,28,-8,20,40
Chandler Kramer,-18,3,0,0,0,21,30,3,54,T5,0,0,0,21,-3,20,38
Sullivan Tipton,-18,3,0,0,0,26,21,7,54,T5,0,0,0,26,-7,20,39
Adam Hammes,-17,3,0,0,0,24,23,7,54,7,0,0,0,24,-7,20,37
Jake Hebenheimer,-14,3,0,0,1,18,30,5,54,8,0,0,5,18,-5,20,38
Aaron Gossage,-13,3,1,0,1,23,20,10,54,T9,10,0,5,23,-10,20,48
Andrew Presnell,-13,3,0,0,0,18,31,5,54,T9,0,0,0,18,-5,20,33
Evan Smith,-13,3,0,0,0,25,18,11,54,T9,0,0,0,25,-11,20,34
Ezra Robinson,-13,3,0,0,0,23,22,9,54,T9,0,0,0,23,-9,20,34
Isaac Robinson,-13,3,0,0,0,20,28,6,54,T9,0,0,0,20,-6,20,34
Joel Freeman,-13,3,0,0,0,22,24,8,54,T9,0,0,0,22,-8,20,34
Dallas Garber,-12,3,0,0,0,20,26,8,54,T15,0,0,0,20,-8,10,22
Harper Thompson,-12,3,0,0,0,19,28,7,54,T15,0,0,0,19,-7,10,22
Joseph Anderson,-12,3,0,0,0,18,30,6,54,T15,0,0,0,18,-6,10,22
Niklas Anttila,-12,3,0,0,0,22,23,9,54,T15,0,0,0,22,-9,10,23
Elijah Bickel,-11,3,0,0,0,18,30,6,54,T19,0,0,0,18,-6,10,22
Simon Lizotte,-11,3,0,0,1,19,25,9,54,T19,0,0,5,19,-9,10,25
Zachary Nash,-11,3,0,0,0,21,25,8,54,T19,0,0,0,21,-8,10,23
Braeden Sides,-10,3,0,0,0,21,23,10,54,T22,0,0,0,21,-10,0,11
Casey White,-10,3,0,0,0,20,25,9,54,T22,0,0,0,20,-9,0,11
Calvin Heimburg,-9,3,0,0,0,21,22,11,54,T24,0,0,0,21,-11,0,10
Eagle Mc Mahon,-9,3,0,0,0,19,27,8,54,T24,0,0,0,19,-8,0,11
Luke Taylor,-9,3,0,0,1,17,28,8,54,T24,0,0,5,17,-8,0,14
Ryan Monn,-9,3,0,0,0,18,29,7,54,T24,0,0,0,18,-7,0,11
Corey Ellis,-8,3,0,0,0,20,26,8,54,T28,0,0,0,20,-8,0,12
Jonathan Borzick,-8,3,0,0,0,16,31,7,54,T28,0,0,0,16,-7,0,9
Paul Krans,-8,3,0,0,0,20,25,9,54,T28,0,0,0,20,-9,0,11
Ty Love,-8,3,0,0,0,21,23,10,54,T28,0,0,0,21,-10,0,11
Andrew Marwede,-7,3,0,0,0,20,24,10,54,T32,0,0,0,20,-10,0,10
Anthony Barela,-7,3,0,0,0,17,29,8,54,T32,0,0,0,17,-8,0,9
Chris Dickerson,-7,3,0,0,0,17,28,9,54,T32,0,0,0,17,-9,0,8
Garrett Gurthie,-7,3,0,0,0,17,28,9,54,T32,0,0,0,17,-9,0,8
Matthew Orum,-7,3,0,0,0,17,30,7,54,T32,0,0,0,17,-7,0,10
Micah Groth,-7,3,0,0,0,17,28,9,54,T32,0,0,0,17,-9,0,8
Clay Edwards,-6,3,0,0,0,17,29,8,54,38,0,0,0,17,-8,0,9
