site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1051,161,-28,1,1,1,1,1,0,0,0,32,19,3,79.0,1.0,3,54
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1052,163,-26,T2,0,1,1,1,0,0,0,29,22,3,56.0,1.0,3,54
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Cole Redalen,79748,1036,163,-26,T2,0,1,1,1,0,0,1,26,25,2,59.0,1.0,3,54
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Silas Schultz,79047,1032,164,-25,4,0,0,1,1,0,0,0,32,15,7,45.0,1.0,3,54
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1041,165,-24,T5,0,0,1,1,0,0,0,28,22,4,44.0,1.0,3,54
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1047,165,-24,T5,0,0,1,1,0,0,0,32,15,7,45.0,1.0,3,54
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Hjalte Jensen,129061,1028,168,-21,T7,0,0,1,1,0,0,0,32,14,8,44.0,1.0,3,54
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Jesse Nieminen,58923,1031,168,-21,T7,0,0,1,1,0,0,0,26,24,4,42.0,1.0,3,54
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Miio Hämäläinen,201845,1020,169,-20,9,0,0,1,1,0,0,0,29,19,6,43.0,1.0,3,54
ale,96412,2026,2026-07-03,2026-07-05,Ale Open presented by Discraft,MPO,Disc Golf Pro Tour,Albert Tamm,76669,1022,170,-19,T10,0,0,1,1,0,0,0,24,25,5,39.0,1.0,3,54
