site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Evan Smith,101574,1043,160,-32,1,1,1,1,1,0,0,0,36,14,4,82.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Austin Turner,54049,1030,168,-24,T2,0,1,1,1,0,0,0,28,22,4,54.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1062,168,-24,T2,0,1,1,1,0,0,0,29,20,5,54.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Sullivan Tipton,78817,1041,170,-22,4,0,0,1,1,1,0,1,25,25,3,57.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Paul Krans,132521,1036,171,-21,5,0,0,1,1,0,0,0,27,22,5,42.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1052,172,-20,T6,0,0,1,1,0,0,0,29,18,7,42.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Evan Walker,190731,1028,172,-20,T6,0,0,1,1,0,0,0,25,24,5,40.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1041,172,-20,T6,0,0,1,1,0,0,0,26,22,6,40.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Niklas Anttila,91249,1042,172,-20,T6,0,0,1,1,0,0,0,27,20,7,40.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Silas Schultz,79047,1033,172,-20,T6,0,0,1,1,0,0,0,28,19,7,41.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Jaden Rye,153363,1029,173,-19,11,0,0,0,1,0,0,0,29,18,7,32.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1039,174,-18,T12,0,0,0,1,0,0,0,26,22,6,30.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Chris Clemons,50401,1017,174,-18,T12,0,0,0,1,0,0,0,25,24,5,30.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1048,175,-17,T14,0,0,0,1,0,0,0,27,18,9,28.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1053,175,-17,T14,0,0,0,1,0,0,0,26,20,8,28.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Casey White,81739,1036,176,-16,T16,0,0,0,1,0,0,0,22,27,5,27.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Colin Bryant,130709,1033,176,-16,T16,0,0,0,1,0,0,0,23,25,6,27.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Aaron Gossage,35449,1035,177,-15,T18,0,0,0,1,0,0,0,24,21,9,25.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Gavin Babcock,80331,1038,177,-15,T18,0,0,0,1,0,0,0,23,25,6,27.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Lucas Oberholtzer Hess,90439,1020,177,-15,T18,0,0,0,1,0,0,0,26,17,11,25.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Joseph Anderson,122356,1032,178,-14,T21,0,0,0,0,0,0,0,24,21,9,15.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Zachary Nash,101197,1035,178,-14,T21,0,0,0,0,0,0,0,23,22,9,14.0,1.0,3,54
dmc,96415,2026,2026-08-07,2026-08-09,Discmania Challenge presented by TruBank,MPO,Disc Golf Pro Tour,Chris Dickerson,62467,1043,179,-13,T23,0,0,0,0,0,0,0,23,23,8,15.0,1.0,3,54
