site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1063,157,-29,1,1,1,1,1,0,0,0,33,17,4,79.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1052,160,-26,2,0,1,1,1,0,0,0,31,19,4,57.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Bradley Williams,31644,1032,163,-23,T3,0,1,1,1,0,0,0,29,19,6,53.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Daniel Davidsson,76456,1035,163,-23,T3,0,1,1,1,0,0,0,29,20,5,54.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Fritiof Fagergren,135125,1016,163,-23,T3,0,1,1,1,0,0,0,29,19,6,53.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Justus Sarvi,165010,1023,164,-22,T6,0,0,1,1,0,0,0,28,20,6,42.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Onni Ruusunen,131002,1031,164,-22,T6,0,0,1,1,0,0,0,27,22,5,42.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1041,165,-21,T8,0,0,1,1,0,0,1,24,24,5,44.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Lauri Lehtinen,82297,1036,165,-21,T8,0,0,1,1,0,0,0,25,25,4,41.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Eetu Tuominen,131056,1036,168,-18,T10,0,0,1,1,0,0,0,25,24,5,40.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Jaden Rye,153363,1030,168,-18,T10,0,0,1,1,0,0,0,23,26,5,38.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Braeden Sides,129963,1028,169,-17,T12,0,0,0,1,0,0,0,24,24,6,28.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Niklas Anttila,91249,1044,169,-17,T12,0,0,0,1,0,0,0,23,26,5,28.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Väinö Mäkelä,59635,1033,169,-17,T12,0,0,0,1,0,0,0,26,21,7,29.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Jakub Semerád,91925,1028,170,-16,T15,0,0,0,1,0,0,0,23,26,5,28.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Nestori Tuhkanen,110462,1026,170,-16,T15,0,0,0,1,0,0,0,25,23,6,29.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Teemu Lampainen,107567,1025,170,-16,T15,0,0,0,1,0,0,0,24,22,8,26.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Aaron Gossage,35449,1037,171,-15,T18,0,0,0,1,0,0,0,24,23,7,27.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Jakub Knápek,68237,1023,171,-15,T18,0,0,0,1,0,0,0,24,22,8,26.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Luukas Rokkanen,64917,1014,171,-15,T18,0,0,0,1,0,0,1,20,27,6,29.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Harry Chace,131546,1026,172,-14,T21,0,0,0,0,0,0,0,22,24,8,14.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Linus Carlsson,82098,1017,172,-14,T21,0,0,0,0,0,0,0,19,30,5,14.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Nooa Hämäläinen,203340,1015,172,-14,T21,0,0,0,0,0,0,0,20,29,5,15.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Calvin Lonnquist,145206,1017,174,-12,T24,0,0,0,0,0,0,0,25,20,9,16.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Dennis Augustsson,98130,1017,174,-12,T24,0,0,0,0,0,0,0,22,24,8,14.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Joni Peltonen,94872,1016,174,-12,T24,0,0,0,0,0,0,0,22,23,9,13.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Morten Kristiansen,111626,992,174,-12,T24,0,0,0,0,0,0,0,25,18,11,14.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Ezra Aderhold,121715,1023,175,-11,T28,0,0,0,0,0,0,0,20,26,8,12.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Jan-Mikael Lampela,118097,1002,175,-11,T28,0,0,0,0,0,0,0,23,22,9,14.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Mauri Villmann,107197,1042,175,-11,T28,0,0,0,0,0,0,0,18,29,7,11.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Oiva Päivänsalo,157441,1015,175,-11,T28,0,0,0,0,0,0,0,22,24,8,14.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Otto Mäkinen,159317,1021,175,-11,T28,0,0,0,0,0,0,0,24,21,9,15.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Silas Schultz,79047,1032,175,-11,T28,0,0,0,0,0,0,0,23,22,9,14.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Aapo Karhi,82562,1009,176,-10,T34,0,0,0,0,0,0,0,21,23,10,11.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Arvid Håkansson,119628,1016,176,-10,T34,0,0,0,0,0,0,0,25,20,9,16.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Elias Gripler,79004,1013,176,-10,T34,0,0,0,0,0,0,0,23,20,11,12.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Jesse Nieminen,58923,1031,176,-10,T34,0,0,0,0,0,0,1,19,27,7,17.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Joona Heinänen,58926,1029,176,-10,T34,0,0,0,0,0,0,0,22,22,10,12.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Kalle Ojala,91946,976,176,-10,T34,0,0,0,0,0,0,0,22,21,11,11.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Levi Stout,118179,1020,176,-10,T34,0,0,0,0,0,0,0,25,20,9,16.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Miio Hämäläinen,201845,1020,176,-10,T34,0,0,0,0,0,0,0,22,22,10,12.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Pekka Hyvönen,107079,1004,176,-10,T34,0,0,0,0,0,0,0,18,30,6,12.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Eetu Salomäki,117593,1011,177,-9,T43,0,0,0,0,0,0,0,20,25,9,11.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Harper Thompson,60259,1025,177,-9,T43,0,0,0,0,0,0,0,20,26,8,12.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Arttu Rossi,228153,1001,178,-8,T45,0,0,0,0,0,0,0,22,21,11,11.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Rasmus Saukkoriipi,136325,1021,178,-8,T45,0,0,0,0,0,0,0,23,21,10,13.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Teemu Talikainen,155087,1010,178,-8,T45,0,0,0,0,0,0,0,20,25,9,11.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Alexander Karanzas,204855,993,180,-6,T48,0,0,0,0,0,0,0,19,24,11,8.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Maico Rimmel,75444,1022,180,-6,T48,0,0,0,0,0,0,0,19,24,11,8.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Max Forsman,224293,1005,180,-6,T48,0,0,0,0,0,0,0,18,25,11,7.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Miro Ryhänen,176270,1012,180,-6,T48,0,0,0,0,0,0,0,15,33,6,9.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Björn Marrandi,180865,1014,181,-5,T52,0,0,0,0,0,0,0,15,30,9,6.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Eemil Lampela,119596,1006,181,-5,T52,0,0,0,0,0,0,0,18,25,11,7.0,1.0,3,54
hno,96413,2026,2026-07-10,2026-07-12,Heinola Open presented by MVP,MPO,Disc Golf Pro Tour,Elias Luukkonen,106059,1012,181,-5,T52,0,0,0,0,0,0,0,18,24,12,6.0,1.0,3,54
