site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1061,158,-31,1,1,1,1,1,0,0,1,33,16,4,84.0,1.0,3,54
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1047,162,-27,2,0,1,1,1,0,0,1,28,22,3,60.0,1.0,3,54
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1033,164,-25,3,0,1,1,1,0,0,0,29,21,4,55.0,1.0,3,54
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1049,165,-24,4,0,0,1,1,0,0,3,25,20,6,54.0,1.0,3,54
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Sullivan Tipton,78817,1040,166,-23,5,0,0,1,1,0,0,0,28,21,5,43.0,1.0,3,54
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Niklas Anttila,91249,1046,167,-22,6,0,0,1,1,0,0,0,28,20,6,42.0,1.0,3,54
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Kyle Klein,85132,1041,168,-21,T7,0,0,1,1,0,0,0,26,26,2,44.0,1.0,3,54
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Zachary Nash,101197,1032,168,-21,T7,0,0,1,1,0,0,0,25,25,4,41.0,1.0,3,54
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Chris Dickerson,62467,1038,170,-19,T9,0,0,1,1,0,0,0,22,29,3,39.0,1.0,3,54
jbo,96404,2026,2026-04-17,2026-04-19,Play it Again Sports Jonesboro Open presented by Westside Discs,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1037,170,-19,T9,0,0,1,1,0,0,1,22,27,4,43.0,1.0,3,54
