site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Cole Redalen,79748,1036,144,-23,1,1,1,1,1,0,0,0,28,12,5,73.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1049,146,-21,T2,0,1,1,1,0,0,1,23,17,4,54.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1050,146,-21,T2,0,1,1,1,0,0,0,26,15,4,52.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1061,147,-20,4,0,0,1,1,0,0,0,26,14,5,41.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Casey White,81739,1033,152,-15,T5,0,0,1,1,0,0,0,19,22,4,35.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Jesse Nieminen,58923,1029,152,-15,T5,0,0,1,1,0,0,0,20,20,5,35.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Gavin Babcock,80331,1030,153,-14,T7,0,0,1,1,0,0,0,21,17,7,34.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1047,153,-14,T7,0,0,1,1,0,0,0,21,18,6,35.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Raven Newsom,88212,1030,153,-14,T7,0,0,1,1,0,0,0,21,17,7,34.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Zachary Nash,101197,1032,153,-14,T7,0,0,1,1,0,0,2,21,12,10,41.0,1.0,3,45
kcw,96407,2026,2026-04-24,2026-04-26,GRIPeq 44th Kansas City Wide Open presented by Nexus Disc Golf,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1039,154,-13,11,0,0,0,1,0,0,0,21,17,7,24.0,1.0,3,45
