site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1037,234,-28,1,1,1,1,1,0,0,0,39,23,10,79.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1063,235,-27,2,0,1,1,1,0,0,0,40,20,12,58.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Sullivan Tipton,78817,1039,239,-23,3,0,1,1,1,0,0,0,37,24,11,56.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1037,245,-17,4,0,0,1,1,0,0,0,31,28,13,38.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1047,246,-16,T5,0,0,1,1,0,0,0,32,26,14,38.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1051,246,-16,T5,0,0,1,1,0,0,1,32,26,13,44.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Simon Lizotte,8332,1031,246,-16,T5,0,0,1,1,0,0,0,31,28,13,38.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Jake Hebenheimer,43762,1018,247,-15,8,0,0,1,1,0,0,0,27,34,11,36.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Joel Freeman,69509,1040,248,-14,T9,0,0,1,1,0,0,0,26,37,9,37.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Zachary Nash,101197,1033,248,-14,T9,0,0,1,1,0,0,0,26,35,11,35.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Chris Dickerson,62467,1041,249,-13,11,0,0,0,1,0,0,0,28,32,12,26.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1052,250,-12,T12,0,0,0,1,0,0,1,29,25,17,27.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Cole Redalen,79748,1036,250,-12,T12,0,0,0,1,0,0,0,32,26,14,28.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Matthew Orum,18330,1030,250,-12,T12,0,0,0,1,0,0,0,31,24,17,24.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Paul McBeth,27523,1046,250,-12,T12,0,0,0,1,0,0,0,25,37,10,25.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Colin Bryant,130709,1032,252,-10,16,0,0,0,1,0,0,0,29,27,16,23.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Gavin Babcock,80331,1038,253,-9,T17,0,0,0,1,0,0,1,27,29,15,27.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Paul Krans,132521,1034,253,-9,T17,0,0,0,1,0,0,0,24,34,14,20.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Raven Newsom,88212,1030,253,-9,T17,0,0,0,1,0,0,0,23,35,14,19.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Andrew Presnell,63765,1029,254,-8,T20,0,0,0,1,0,0,0,25,33,14,21.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1041,254,-8,T20,0,0,0,1,0,0,0,31,23,18,23.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Bradley Williams,31644,1032,254,-8,T20,0,0,0,1,0,0,0,24,34,14,20.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Casey White,81739,1035,254,-8,T20,0,0,0,1,0,0,0,24,33,15,19.0,1.0,4,72
lso,96414,2026,2026-07-30,2026-08-02,DGPT+ Ledgestone Open,MPO,Disc Golf Pro Tour,Jesse Longenecker,149546,1024,254,-8,T20,0,0,0,1,0,0,0,28,28,16,22.0,1.0,4,72
