site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1062,224,-32,1,1,1,1,1,0,0,0,35,34,3,82.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1047,225,-31,2,0,1,1,1,0,0,1,31,38,2,64.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Eagle McMahon,37817,1040,227,-29,3,0,1,1,1,0,0,0,34,33,5,59.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1046,228,-28,4,0,0,1,1,0,0,0,32,37,3,49.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Corey Ellis,44512,1032,233,-23,5,0,0,1,1,0,0,1,30,33,8,47.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1034,234,-22,6,0,0,1,1,0,0,1,28,36,7,46.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Albert Tamm,76669,1019,236,-20,T7,0,0,1,1,0,0,1,23,43,5,43.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1042,236,-20,T7,0,0,1,1,0,0,0,37,23,12,45.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Andrew Miranda,118426,1022,237,-19,T9,0,0,1,1,0,0,0,30,31,11,39.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Bradley Williams,31644,1030,237,-19,T9,0,0,1,1,0,0,0,27,38,7,40.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Gavin Babcock,80331,1037,237,-19,T9,0,0,1,1,0,0,0,27,39,6,41.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Ryan Monn,144929,1019,237,-19,T9,0,0,1,1,0,0,0,31,31,10,41.0,1.0,4,72
nwc,96410,2026,2026-06-04,2026-06-07,DGPT+ Northwest Championship Presented by Latitude 64°,MPO,Disc Golf Pro Tour,Joseph Anderson,122356,1034,238,-18,T13,0,0,0,1,0,0,0,28,34,10,28.0,1.0,4,72
