site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Paul Ulibarri,27171,1027,222,-36,1,1,1,1,1,0,0,0,40,28,4,86.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Ezra Robinson,50671,1036,222,-36,2,0,1,1,1,0,0,0,36,36,0,66.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Jaden Rye,153363,1029,223,-35,T3,0,1,1,1,0,0,1,36,32,3,68.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Kyle Klein,85132,1040,223,-35,T3,0,1,1,1,0,0,0,41,25,6,65.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Evan Scott,89394,1026,224,-34,T5,0,0,1,1,0,0,0,41,24,7,54.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Sullivan Tipton,78817,1041,224,-34,T5,0,0,1,1,0,0,0,38,30,4,54.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1041,225,-33,T7,0,0,1,1,0,0,2,40,22,8,62.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1049,225,-33,T7,0,0,1,1,0,0,0,42,22,8,54.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1061,225,-33,T7,0,0,1,1,0,0,1,41,21,9,57.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1036,227,-31,T10,0,0,1,1,0,0,0,36,31,5,51.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Luke Humphries,69424,1008,227,-31,T10,0,0,1,1,0,0,0,36,32,4,52.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Clay Edwards,91397,1021,229,-29,T12,0,0,0,1,0,0,0,36,31,5,41.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Jesse Nieminen,58923,1029,229,-29,T12,0,0,0,1,0,0,1,31,36,4,42.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Niklas Anttila,91249,1047,229,-29,T12,0,0,0,1,0,0,0,38,25,9,39.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Paul Krans,132521,1032,229,-29,T12,0,0,0,1,0,0,0,34,33,5,39.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Andrew Marwede,75590,1036,230,-28,16,0,0,0,1,0,0,0,36,29,7,39.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Jakub Semerád,91925,1026,231,-27,T17,0,0,0,1,0,0,0,36,29,7,39.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Mason Ford,72844,1036,231,-27,T17,0,0,0,1,0,0,0,35,29,8,37.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Casey White,81739,1034,232,-26,T19,0,0,0,1,0,0,0,31,36,5,36.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1034,232,-26,T19,0,0,0,1,0,0,1,35,27,9,41.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Simon Lizotte,8332,1033,232,-26,T19,0,0,0,1,0,0,1,31,35,5,41.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Austin Turner,54049,1027,233,-25,T22,0,0,0,0,0,0,0,33,31,8,25.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Chris Dickerson,62467,1037,233,-25,T22,0,0,0,0,0,0,0,29,39,4,25.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Gavin Babcock,80331,1031,233,-25,T22,0,0,0,0,0,0,0,30,37,5,25.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Robert Burridge,96512,1027,233,-25,T22,0,0,0,0,0,0,0,33,32,7,26.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Jake Hebenheimer,43762,1020,234,-24,T26,0,0,0,0,0,0,0,37,24,11,26.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Joseph Anderson,122356,1034,234,-24,T26,0,0,0,0,0,0,0,34,28,10,24.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1050,234,-24,T26,0,0,0,0,0,0,0,34,30,8,26.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Matthew Orum,18330,1030,237,-21,29,0,0,0,0,0,0,1,27,37,7,25.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Andrew Miranda,118426,1018,238,-20,T30,0,0,0,0,0,0,1,33,26,12,26.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Chandler Kramer,139228,1026,238,-20,T30,0,0,0,0,0,0,0,30,32,10,20.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Corey Ellis,44512,1032,238,-20,T30,0,0,0,0,0,0,0,31,31,10,21.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Harry Chace,131546,1025,238,-20,T30,0,0,0,0,0,0,0,33,29,10,23.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Jake Monn,98722,1031,238,-20,T30,0,0,0,0,0,0,0,30,35,7,23.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Parker Welck,39491,1029,238,-20,T30,0,0,0,0,0,0,1,29,31,11,23.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Zane Letts,57544,1016,238,-20,T30,0,0,0,0,0,0,0,32,28,12,20.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1048,239,-19,T37,0,0,0,0,0,0,0,32,29,11,21.0,1.0,4,72
oaa,96408,2026,2026-05-07,2026-05-10,DGPT+ Barbasol Open at Austin presented by Hampton Inn/Home2 Suites Austin East,MPO,Disc Golf Pro Tour,Mauri Villmann,107197,1040,239,-19,T37,0,0,0,0,0,0,0,29,37,6,23.0,1.0,4,72
