site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1049,225,-37,1,1,1,1,1,0,0,0,40,29,3,87.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1061,225,-37,2,0,1,1,1,0,0,0,40,29,3,67.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1036,233,-29,T3,0,1,1,1,0,0,0,35,31,6,59.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Gavin Babcock,80331,1031,233,-29,T3,0,1,1,1,0,0,0,35,31,6,59.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1041,237,-25,T5,0,0,1,1,0,0,1,34,27,10,49.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Zachary Nash,101197,1033,237,-25,T5,0,0,1,1,0,0,1,33,30,8,50.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Ezra Robinson,50671,1036,238,-24,7,0,0,1,1,0,0,1,35,26,10,50.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Andrew Marwede,75590,1036,240,-22,T8,0,0,1,1,0,0,0,30,35,7,43.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1048,240,-22,T8,0,0,1,1,0,0,0,33,29,10,43.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Parker Welck,39491,1029,241,-21,10,0,0,1,1,0,0,0,31,33,8,43.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Aaron Gossage,35449,1039,242,-20,T11,0,0,0,1,0,0,0,30,33,9,31.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Corey Ellis,44512,1032,242,-20,T11,0,0,0,1,0,0,0,31,31,10,31.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Jaden Rye,153363,1029,242,-20,T11,0,0,0,1,0,0,1,31,29,11,35.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Bradley Williams,31644,1031,243,-19,T14,0,0,0,1,0,0,0,26,40,6,30.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Eagle McMahon,37817,1038,243,-19,T14,0,0,0,1,0,0,0,29,34,9,30.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,James Conrad,17295,1012,244,-18,T16,0,0,0,1,0,0,0,26,39,7,29.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Silas Schultz,79047,1031,244,-18,T16,0,0,0,1,0,0,0,24,42,6,28.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Paul Krans,132521,1032,245,-17,T18,0,0,0,1,0,0,0,28,34,10,28.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1050,245,-17,T18,0,0,0,1,0,0,0,31,30,11,30.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Jakub Semerád,91925,1026,246,-16,20,0,0,0,1,0,0,0,29,32,11,28.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Ezra Aderhold,121715,1028,247,-15,21,0,0,0,0,0,0,0,27,33,12,15.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Väinö Mäkelä,59635,1030,248,-14,22,0,0,0,0,0,0,1,30,25,16,19.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Andrew Miranda,118426,1018,249,-13,T23,0,0,0,0,0,0,0,28,33,11,17.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Dallas Garber,138089,1019,249,-13,T23,0,0,0,0,0,0,0,26,35,11,15.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1034,249,-13,T23,0,0,0,0,0,0,0,27,32,13,14.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Noah Meintsma,56555,1024,249,-13,T23,0,0,0,0,0,0,0,31,30,11,20.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Simon Lizotte,8332,1033,249,-13,T23,0,0,0,0,0,0,0,31,28,13,18.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Clay Edwards,91397,1021,250,-12,T28,0,0,0,0,0,0,0,22,43,7,15.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Cole Redalen,79748,1036,250,-12,T28,0,0,0,0,0,0,0,26,34,12,14.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Elijah Bickel,94844,1022,250,-12,T28,0,0,0,0,0,0,0,25,38,9,16.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Matthew Orum,18330,1030,250,-12,T28,0,0,0,0,0,0,0,22,40,10,12.0,1.0,4,72
otb,96409,2026,2026-05-21,2026-05-24,DGPT+ / WGE - OTB Open by MVP Disc Sports,MPO,Disc Golf Pro Tour,Joseph Anderson,122356,1034,251,-11,32,0,0,0,0,0,0,0,25,36,11,14.0,1.0,4,72
