site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Niklas Anttila,91249,1046,249,-27,1,1,1,1,1,0,0,0,31,37,4,154.0,2.0,4,72
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Gannon Buhr,75412,1061,250,-26,2,0,1,1,1,0,0,0,35,29,8,114.0,2.0,4,72
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Anthony Barela,44382,1039,251,-25,3,0,1,1,1,0,0,1,33,31,7,122.0,2.0,4,72
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Richard Wysocki,38008,1050,256,-20,4,0,0,1,1,0,0,0,30,33,9,82.0,2.0,4,72
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Calvin Heimburg,45971,1049,261,-15,T5,0,0,1,1,0,0,0,29,31,12,74.0,2.0,4,72
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Evan Smith,101574,1037,261,-15,T5,0,0,1,1,0,0,0,29,31,12,74.0,2.0,4,72
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Isaac Robinson,50670,1047,261,-15,T5,0,0,1,1,0,0,0,30,33,9,82.0,2.0,4,72
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Adam Hammes,57365,1033,265,-11,T8,0,0,1,1,0,0,0,26,33,13,66.0,2.0,4,72
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Casey White,81739,1033,265,-11,T8,0,0,1,1,1,0,1,23,38,10,96.0,2.0,4,72
pcc,97336,2026,2026-04-09,2026-04-12,2026 PDGA Champions Cup Presented by Vessi,MPO,Major,Jesse Nieminen,58923,1029,267,-9,T10,0,0,1,1,0,0,0,30,30,12,76.0,2.0,4,72
