site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1039,159,-36,1,1,1,1,1,1,0,1,36,15,2,99,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Gavin Babcock,80331,1038,162,-33,2,0,1,1,1,1,0,1,35,14,4,76,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1048,163,-32,3,0,1,1,1,0,0,0,39,9,6,63,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1062,164,-31,T4,0,0,1,1,0,0,0,38,12,4,54,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Lucas Oberholtzer Hess,90439,1020,164,-31,T4,0,0,1,1,0,0,0,36,13,5,51,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Simon Lizotte,8332,1032,164,-31,T4,0,0,1,1,0,0,0,34,17,3,51,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Harry Chace,131546,1024,165,-30,T7,0,0,1,1,0,0,0,34,17,3,51,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Jesse Nieminen,58923,1031,165,-30,T7,0,0,1,1,0,0,0,32,20,2,50,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1041,165,-30,T7,0,0,1,1,0,0,0,34,16,4,50,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Cale Leiviska,24341,1035,166,-29,T10,0,0,1,1,0,0,0,31,21,2,49,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Rasmus Saukkoriipi,136325,1018,166,-29,T10,0,0,1,1,0,0,1,35,10,8,52,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Chris Dickerson,62467,1043,168,-27,T12,0,0,0,1,0,0,0,31,19,4,37,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Cole Redalen,79748,1038,168,-27,T12,0,0,0,1,0,0,0,32,19,3,39,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Silas Schultz,79047,1033,168,-27,T12,0,0,0,1,0,0,1,30,19,4,41,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Joseph Anderson,122356,1032,170,-25,15,0,0,0,1,0,0,0,30,19,5,35,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Bradley Williams,31644,1031,171,-24,T16,0,0,0,1,0,0,0,29,20,5,34,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Casey White,81739,1036,171,-24,T16,0,0,0,1,0,0,1,31,17,5,41,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Clay Edwards,91397,1023,171,-24,T16,0,0,0,1,0,0,0,29,20,5,34,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Paul Ulibarri,27171,1030,173,-22,19,0,0,0,1,0,0,0,29,20,5,34,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Austen Bates,130724,1027,174,-21,T20,0,0,0,1,0,0,0,30,19,5,35,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Noah Meintsma,56555,1022,174,-21,T20,0,0,0,1,0,0,0,30,17,7,33,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Connor O'Reilly,99648,1014,175,-20,T22,0,0,0,0,0,0,0,27,21,6,21,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Ezra Aderhold,121715,1022,175,-20,T22,0,0,0,0,0,0,0,27,20,7,20,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Gregg Barsby,15857,1014,175,-20,T22,0,0,0,0,1,0,1,26,19,8,33,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Harper Thompson,60259,1025,176,-19,T25,0,0,0,0,0,0,0,28,21,5,23,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Thomas Gilbert,85850,1027,176,-19,T25,0,0,0,0,0,0,0,27,19,8,19,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Zachary Nash,101197,1035,177,-18,27,0,0,0,0,0,0,0,30,15,9,21,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Andrew Miranda,118426,1021,178,-17,T28,0,0,0,0,0,0,0,25,25,4,21,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Evan Scott,89394,1028,178,-17,T28,0,0,0,0,0,0,0,26,21,7,19,1,3,54
pdc,96416,2026,8/14/2026,8/16/2026,2026 DGPT Doubles Championship at The Preserve presented by Simon Line,MPO,Disc Golf Pro Tour,Kyle Krieckhaus,154511,1016,178,-17,T28,0,0,0,0,0,0,0,25,23,6,19,1,3,54
