site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Silas Schultz,79047,1033,293,-35,1,1,1,1,1,0,0,0,47,33,10,174.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Rainers Balodis,158640,1029,293,-35,2,0,1,1,1,0,0,0,49,27,14,130.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Isaac Robinson,50670,1048,296,-32,T3,0,1,1,1,0,0,0,40,43,7,126.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Jake Monn,98722,1028,296,-32,T3,0,1,1,1,0,0,0,40,42,8,124.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Zachary Nash,101197,1035,296,-32,T3,0,1,1,1,0,0,0,47,30,13,128.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Richard Wysocki,38008,1053,297,-31,6,0,0,1,1,0,0,1,39,41,9,110.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Anthony Barela,44382,1038,298,-30,7,0,0,1,1,0,0,1,44,30,15,108.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Austin Turner,54049,1030,299,-29,T8,0,0,1,1,0,0,0,38,45,7,102.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Gannon Buhr,75412,1062,299,-29,T8,0,0,1,1,1,0,1,40,38,11,128.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Aaron Gossage,35449,1035,300,-28,10,0,0,1,1,0,0,0,38,42,10,96.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Calvin Heimburg,45971,1052,301,-27,11,0,0,0,1,0,0,2,37,39,12,90.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Cole Redalen,79748,1038,302,-26,T12,0,0,0,1,0,0,2,38,35,15,86.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Eagle McMahon,37817,1045,302,-26,T12,0,0,0,1,0,0,0,40,38,12,76.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Rasmus Saukkoriipi,136325,1018,302,-26,T12,0,0,0,1,0,0,0,36,44,10,72.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Jake Hebenheimer,43762,1025,303,-25,15,0,0,0,1,0,0,0,39,39,12,74.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Joseph Anderson,122356,1032,304,-24,16,0,0,0,1,0,0,0,38,40,12,72.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Adam Hammes,57365,1039,305,-23,T17,0,0,0,1,0,0,0,38,40,12,72.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Paul McBeth,27523,1048,305,-23,T17,0,0,0,1,0,0,0,36,44,10,72.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Nestori Tuhkanen,110462,1029,306,-22,19,0,0,0,1,0,0,0,39,36,15,68.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Joona Heinänen,58926,1028,307,-21,T20,0,0,0,1,0,0,1,32,46,11,72.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Levi Stout,118179,1020,307,-21,T20,0,0,0,1,0,0,0,32,48,10,64.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Niklas Anttila,91249,1042,307,-21,T20,0,0,0,1,0,0,0,33,46,11,64.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Teemu Lampainen,107567,1028,307,-21,T20,0,0,0,1,0,0,0,31,49,10,62.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Casey White,81739,1036,308,-20,T24,0,0,0,0,0,0,0,30,50,10,40.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Chris Dickerson,62467,1043,308,-20,T24,0,0,0,0,0,0,1,31,47,11,50.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Daniel Davidsson,76456,1036,309,-19,T26,0,0,0,0,0,0,0,38,36,16,44.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Raven Newsom,88212,1030,309,-19,T26,0,0,0,0,0,0,0,28,55,7,42.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Mauri Villmann,107197,1042,310,-18,28,0,0,0,0,0,0,0,32,47,11,42.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Andrew Presnell,63765,1029,312,-16,T29,0,0,0,0,0,0,0,29,50,11,36.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Väinö Mäkelä,59635,1030,312,-16,T29,0,0,0,0,0,0,0,34,41,15,38.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Cale Leiviska,24341,1035,313,-15,T31,0,0,0,0,0,0,0,26,54,10,32.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Ty Love,89959,1024,313,-15,T31,0,0,0,0,0,0,0,30,48,12,36.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Luke Taylor,102119,1041,314,-14,33,0,0,0,0,0,0,0,36,35,19,34.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Braeden Sides,129963,1026,315,-13,T34,0,0,0,0,0,0,0,32,44,14,36.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Sullivan Tipton,78817,1041,315,-13,T34,0,0,0,0,0,0,0,30,44,16,28.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Jaden Rye,153363,1029,316,-12,36,0,0,0,0,0,0,0,32,42,16,32.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Harry Chace,131546,1024,317,-11,T37,0,0,0,0,0,0,0,37,30,23,28.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Jesse Nieminen,58923,1031,317,-11,T37,0,0,0,0,0,0,0,34,38,18,32.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Kevin Jones,41760,1009,317,-11,T37,0,0,0,0,0,0,0,33,42,15,36.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Lauri Lehtinen,82297,1035,317,-11,T37,0,0,0,0,0,0,1,29,44,16,36.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Wyatt Mahoney,89460,1021,317,-11,T37,0,0,0,0,0,0,0,29,47,14,30.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Elijah Rider Brandt,143853,1010,318,-10,T42,0,0,0,0,0,0,0,27,47,16,22.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Evan Scott,89394,1028,318,-10,T42,0,0,0,0,0,0,0,28,46,16,24.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Ezra Aderhold,121715,1022,318,-10,T42,0,0,0,0,0,0,0,32,43,15,34.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Lucas Oberholtzer Hess,90439,1020,318,-10,T42,0,0,0,0,0,0,0,28,45,17,22.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Ryan Monn,144929,1021,318,-10,T42,0,0,0,0,1,0,1,25,52,12,56.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Colin Bryant,130709,1033,319,-9,T47,0,0,0,0,0,0,0,32,39,19,26.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Emerson Keith,47472,1026,319,-9,T47,0,0,0,0,0,0,0,27,46,17,20.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Evan Smith,101574,1043,319,-9,T47,0,0,0,0,0,0,0,29,45,16,26.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Fritiof Fagergren,135125,1018,319,-9,T47,0,0,0,0,0,0,0,29,43,18,22.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Ezra Robinson,50671,1034,320,-8,T51,0,0,0,0,0,0,0,28,43,19,18.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Kyle Holt,118412,1010,320,-8,T51,0,0,0,0,0,0,1,28,44,17,32.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Mason Ford,72844,1035,320,-8,T51,0,0,0,0,0,0,0,24,50,16,16.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Paul Krans,132521,1036,320,-8,T51,0,0,0,0,0,0,0,23,53,14,18.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Andrew Marwede,75590,1037,321,-7,T55,0,0,0,0,0,0,0,25,47,18,14.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Jakub Semerád,91925,1028,321,-7,T55,0,0,0,0,0,0,0,28,45,17,22.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Simon Lizotte,8332,1032,322,-6,57,0,0,0,0,0,0,0,30,39,21,18.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Carson Ham,163350,1004,323,-5,58,0,0,0,0,0,0,0,22,54,14,16.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Albert Tamm,76669,1020,324,-4,T59,0,0,0,0,0,0,0,31,41,18,26.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Corey Ellis,44512,1031,324,-4,T59,0,0,0,0,0,0,0,29,44,17,24.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Kyle Klein,85132,1036,324,-4,T59,0,0,0,0,0,0,0,23,52,15,16.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Matthew Orum,18330,1029,324,-4,T59,0,0,0,0,0,0,0,27,45,18,18.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Garrett Gurthie,13864,1022,325,-3,T63,0,0,0,0,0,0,0,27,43,20,14.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Kevin Kiefer III,97115,1022,325,-3,T63,0,0,0,0,0,0,0,28,42,20,16.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Arvid Håkansson,119628,1021,326,-2,T65,0,0,0,0,0,0,0,23,48,19,8.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Chandler Kramer,139228,1025,326,-2,T65,0,0,0,0,0,0,0,17,59,14,6.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Elijah Bickel,94844,1023,326,-2,T65,0,0,0,0,0,0,0,28,39,23,10.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,J.J. Campbell,170839,1013,326,-2,T65,0,0,0,0,0,0,0,24,49,17,14.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Paul Ulibarri,27171,1030,326,-2,T65,0,0,0,0,0,0,0,26,43,21,10.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Gavin Babcock,80331,1038,327,-1,T70,0,0,0,0,0,0,0,21,56,13,16.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Jonathan Borzick,119794,1031,327,-1,T70,0,0,0,0,0,0,0,23,47,20,6.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Gillis MacDougall,124607,1007,328,0,T72,0,0,0,0,0,0,0,17,58,15,4.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,James Conrad,17295,1018,328,0,T72,0,0,0,0,0,0,0,25,45,20,10.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Amos Kauder,235458,1003,329,1,T74,0,0,0,0,0,0,0,24,46,20,8.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Otto Mäkinen,159317,1021,329,1,T74,0,0,0,0,0,0,0,29,36,25,8.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Cam Rico,28560,1011,330,2,T76,0,0,0,0,0,0,0,25,45,20,10.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Luke Samson,59419,1014,330,2,T76,0,0,0,0,0,0,0,22,48,20,4.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Clay Edwards,91397,1023,331,3,78,0,0,0,0,0,0,0,20,50,20,0.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Alden Harris,98091,1019,332,4,T79,0,0,0,0,0,0,0,21,50,19,4.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Aviel Gomez,127492,1026,332,4,T79,0,0,0,0,0,0,0,26,39,25,2.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Axel Olson,120743,1011,332,4,T79,0,0,0,0,0,0,0,25,43,22,6.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Bradley Williams,31644,1031,332,4,T79,0,0,0,0,0,0,0,25,43,22,6.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Aidan Scott,99246,1026,335,7,83,0,0,0,0,0,0,0,24,44,22,4.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Lucas Carmichael,151146,1006,336,8,84,0,0,0,0,0,0,0,24,43,23,2.0,2.0,5,90
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Andrew Martin,54302,1010,264,2,T85,0,0,0,0,0,0,0,22,33,17,10.0,2.0,5,72
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Chandler Fry,25541,1005,264,2,T85,0,0,0,0,0,0,0,19,38,15,8.0,2.0,5,72
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Colton Lawless,146679,1001,264,2,T85,0,0,0,0,0,0,0,17,38,17,0.0,2.0,5,72
pwc,97344,2026,2026-08-26,2026-08-30,2026 PDGA Professional Disc Golf World Championships presented by 1st Phorm,MPO,Major,Kyle Krieckhaus,154511,1016,264,2,T85,0,0,0,0,0,0,0,19,37,16,6.0,2.0,5,72
