site_event_id,event_id,Year,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Casey White,81739,1030,53,-9,T1,1,1,1,1,0,0,0,11,5,2,59.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Evan Smith,101574,1037,53,-9,T1,1,1,1,1,0,0,0,10,7,1,59.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1061,54,-8,T3,0,1,1,1,0,0,0,9,8,1,38.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Jake Monn,98722,1028,54,-8,T3,0,1,1,1,0,0,0,9,8,1,38.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Kevin Jones,41760,1016,54,-8,T3,0,1,1,1,0,0,0,8,10,0,38.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Austin Turner,54049,1030,55,-7,T6,0,0,1,1,0,0,0,7,11,0,27.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Jaden Rye,153363,1028,55,-7,T6,0,0,1,1,0,0,0,7,11,0,27.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Raven Newsom,88212,1027,55,-7,T6,0,0,1,1,0,0,0,8,9,1,27.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1051,56,-6,T9,0,0,1,1,0,0,0,8,8,2,26.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Evan Scott,89394,1027,56,-6,T9,0,0,1,1,0,0,0,7,10,1,26.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Gavin Babcock,80331,1034,56,-6,T9,0,0,1,1,0,0,0,8,8,2,26.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Mauri Villmann,107197,1041,56,-6,T9,0,0,1,1,0,0,0,7,10,1,26.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Nathan Queen,68286,1027,56,-6,T9,0,0,1,1,0,0,0,8,8,2,26.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1050,56,-6,T9,0,0,1,1,0,0,1,8,6,3,30.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Chris Dickerson,62467,1037,57,-5,T15,0,0,0,1,0,0,0,7,9,2,15.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Ezra Aderhold,121715,1030,57,-5,T15,0,0,0,1,0,0,0,8,8,2,16.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Harper Thompson,60259,1025,57,-5,T15,0,0,0,1,0,0,0,6,11,1,15.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Matt Thompson,125969,994,57,-5,T15,0,0,0,1,0,0,0,8,7,3,15.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Aaron Gossage,35449,1041,58,-4,T19,0,0,0,1,0,0,0,8,7,3,15.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1036,58,-4,T19,0,0,0,1,0,0,0,7,8,3,14.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Gavin Phillips,119504,1017,58,-4,T19,0,0,0,1,0,0,0,7,8,3,14.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Kyle Klein,85132,1045,58,-4,T19,0,0,0,1,0,0,0,6,10,2,14.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Robert Burridge,96512,1025,58,-4,T19,0,0,0,1,0,0,0,6,10,2,14.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Sullivan Tipton,78817,1040,58,-4,T19,0,0,0,1,0,0,0,7,8,3,14.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Andrew Marwede,75590,1034,60,-3,T25,0,0,0,0,0,0,0,6,11,2,4.0,1.0,2,19
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Anthony Anselmo,56579,1042,59,-3,T25,0,0,0,0,0,0,0,6,9,3,3.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Anthony Bodanza,210763,987,59,-3,T25,0,0,0,0,0,0,0,7,7,4,3.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Blake Poland,100708,1010,60,-3,T25,0,0,0,0,0,0,0,5,13,2,3.0,1.0,2,20
