site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1050,171,-24,1,1,1,1,1,0,0,2,23,26,3,80.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1061,172,-23,2,0,1,1,1,0,0,1,27,22,4,58.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Paul McBeth,27523,1046,174,-21,3,0,1,1,1,0,0,0,28,21,5,53.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Kyle Klein,85132,1041,175,-20,4,0,0,1,1,0,0,0,28,18,8,40.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Chandler Kramer,139228,1025,177,-18,T5,0,0,1,1,0,0,0,21,30,3,38.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Sullivan Tipton,78817,1040,177,-18,T5,0,0,1,1,0,0,0,26,21,7,39.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1033,178,-17,7,0,0,1,1,0,0,0,24,23,7,37.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Jake Hebenheimer,43762,1019,181,-14,8,0,0,1,1,0,0,1,18,30,5,38.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Aaron Gossage,35449,1042,182,-13,T9,0,0,1,1,1,0,1,23,20,10,48.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Andrew Presnell,63765,1030,182,-13,T9,0,0,1,1,0,0,0,18,31,5,33.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Evan Smith,101574,1037,182,-13,T9,0,0,1,1,0,0,0,25,18,11,34.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Ezra Robinson,50671,1037,182,-13,T9,0,0,1,1,0,0,0,23,22,9,34.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1047,182,-13,T9,0,0,1,1,0,0,0,20,28,6,34.0,1.0,3,54
sfo,96401,2026,2026-02-27,2026-03-01,Discraft’s Supreme Flight Open Presented by Florida’s Adventure Coast,MPO,Disc Golf Pro Tour,Joel Freeman,69509,1037,182,-13,T9,0,0,1,1,0,0,0,22,24,8,34.0,1.0,3,54
