site_event_id,event_id,Year,event_start_date,event_end_date,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Eagle McMahon,37817,1040,157,-26,1,1,1,1,1,0,0,0,29,22,3,76.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Calvin Heimburg,45971,1051,158,-25,2,0,1,1,1,0,0,0,28,23,3,55.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1039,160,-23,T3,0,1,1,1,0,0,1,27,20,6,56.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Ezra Robinson,50671,1038,160,-23,T3,0,1,1,1,0,0,0,28,22,4,54.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1062,161,-22,T5,0,0,1,1,0,0,0,26,24,4,42.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1046,161,-22,T5,0,0,1,1,0,0,0,25,26,3,42.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Eetu Tuominen,131056,1033,162,-21,7,0,0,1,1,0,0,1,23,26,4,44.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Jake Monn,98722,1030,163,-20,T8,0,0,1,1,0,0,0,25,24,5,40.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Nestori Tuhkanen,110462,1022,163,-20,T8,0,0,1,1,0,0,0,23,28,3,40.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Jakub Knápek,68237,1033,164,-19,T10,0,0,1,1,0,0,0,26,22,6,40.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1034,164,-19,T10,0,0,1,1,0,0,0,28,19,7,41.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Niklas Anttila,91249,1047,164,-19,T10,0,0,1,1,0,0,0,27,19,8,39.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Onni Ruusunen,131002,1026,165,-18,T13,0,0,0,1,0,0,0,27,20,7,30.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Robert Burridge,96512,1026,165,-18,T13,0,0,0,1,0,0,0,26,21,7,29.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Sullivan Tipton,78817,1042,165,-18,T13,0,0,0,1,0,0,0,25,23,6,29.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Cole Redalen,79748,1034,166,-17,T16,0,0,0,1,0,0,0,22,27,5,27.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Evan Scott,89394,1026,166,-17,T16,0,0,0,1,0,0,0,22,27,5,27.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Jaden Rye,153363,1032,166,-17,T16,0,0,0,1,0,0,0,22,27,5,27.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Jesse Nieminen,58923,1029,166,-17,T16,0,0,0,1,0,0,0,23,25,6,27.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Joona Heinänen,58926,1025,166,-17,T16,0,0,0,1,0,0,0,25,23,6,29.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Braeden Sides,129963,1026,167,-16,T21,0,0,0,0,0,0,1,19,29,5,19.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Mauri Villmann,107197,1039,167,-16,T21,0,0,0,0,0,0,0,28,17,9,19.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Andrew Miranda,118426,1022,168,-15,T23,0,0,0,0,0,0,1,21,25,7,19.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1042,168,-15,T23,0,0,0,0,0,0,0,22,25,7,15.0,1.0,3,54
swo,96411,2026,2026-06-26,2026-06-28,Swedish Open presented by Kastaplast,MPO,Disc Golf Pro Tour,Arvid Håkansson,119628,1012,168,-15,T23,0,0,0,0,0,0,0,24,22,8,16.0,1.0,3,54
