Place,Player,PDGA#,Total,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,Total Points,Events Played,Top 20s,Top 10s,Top 3s,Wins,Avg Finish,Rounds,HolesCounted,Ace Points,Albatross Points,Eagle Points,Birdie Points,Bogey+ Points,Place Points
1,Anthony Barela,44382,-31,0,0,2,34,29,7,174,1,1,1,1,1,1,4,72,0,0,20,68,-14,100
2,Richard Wysocki,38008,-27,0,0,2,31,33,6,130,1,1,1,1,0,2,4,72,0,0,20,62,-12,60
2,Paul McBeth,27523,-27,0,0,0,36,29,7,118,1,1,1,1,0,2,4,72,0,0,0,72,-14,60
4,Calvin Heimburg,45971,-26,0,0,4,28,32,8,120,1,1,1,0,0,4,4,72,0,0,40,56,-16,40
5,Niklas Anttila,91249,-25,0,0,0,30,37,5,90,1,1,1,0,0,5,4,72,0,0,0,60,-10,40
6,Austin Turner,54049,-23,0,0,0,29,38,5,88,1,1,1,0,0,6,4,72,0,0,0,58,-10,40
7,Gannon Buhr,75412,-22,0,0,3,31,25,13,106,1,1,1,0,0,7,4,72,0,0,30,62,-26,40
8,Andrew Marwede,75590,-21,0,0,0,31,33,8,86,1,1,1,0,0,8,4,72,0,0,0,62,-16,40
9,Kyle Klein,85132,-20,0,0,0,30,33,9,82,1,1,1,0,0,9,4,72,0,0,0,60,-18,40
10,Isaac Robinson,50670,-19,0,0,0,29,35,8,82,1,1,1,0,0,10,4,72,0,0,0,58,-16,40
11,Evan Scott,89394,-16,0,0,0,27,34,11,52,1,1,0,0,0,11,4,72,0,0,0,54,-22,20
11,Evan Smith,101574,-16,0,0,0,31,30,11,60,1,1,0,0,0,11,4,72,0,0,0,62,-22,20
11,Luke Taylor,102119,-16,0,0,1,29,30,12,64,1,1,0,0,0,11,4,72,0,0,10,58,-24,20
11,Joseph Anderson,122356,-16,0,0,0,29,33,10,58,1,1,0,0,0,11,4,72,0,0,0,58,-20,20
15,Mauri Villmann,107197,-11,0,0,0,24,38,10,48,1,1,0,0,0,15,4,72,0,0,0,48,-20,20
15,Aaron Gossage,35449,-11,0,0,1,27,31,13,58,1,1,0,0,0,15,4,72,0,0,10,54,-26,20
15,Gavin Phillips,119504,-11,0,0,0,28,30,14,48,1,1,0,0,0,15,4,72,0,0,0,56,-28,20
15,Gavin Babcock,80331,-11,0,0,0,29,28,15,48,1,1,0,0,0,15,4,72,0,0,0,58,-30,20
19,Noah Meintsma,56555,-10,0,0,0,28,29,15,46,1,1,0,0,0,19,4,72,0,0,0,56,-30,20
19,Jesse Nieminen,58923,-10,0,0,0,19,45,8,42,1,1,0,0,0,19,4,72,0,0,0,38,-16,20
21,Gregg Barsby,15857,-9,0,0,0,26,32,14,24,1,0,0,0,0,21,4,72,0,0,0,52,-28,0
21,Väinö Mäkelä,59635,-9,0,0,1,21,38,12,28,1,0,0,0,0,21,4,72,0,0,10,42,-24,0
23,Simon Lizotte,8332,-8,0,0,2,25,28,17,36,1,0,0,0,0,23,4,72,0,0,20,50,-34,0
23,Nathan Queen,68286,-8,0,0,0,23,37,12,22,1,0,0,0,0,23,4,72,0,0,0,46,-24,0
23,Ty Love,89959,-8,0,0,3,19,38,12,44,1,0,0,0,0,23,4,72,0,0,30,38,-24,0
26,Anthony Anselmo,56579,-7,0,0,0,20,40,12,16,1,0,0,0,0,26,4,72,0,0,0,40,-24,0
26,Zach Arlinghaus,65266,-7,0,0,0,22,36,14,16,1,0,0,0,0,26,4,72,0,0,0,44,-28,0
26,Chris Dickerson,62467,-7,0,0,0,0,0,0,0,1,0,0,0,0,26,4,72,0,0,0,0,0,0
29,Chandler Kramer,139228,-6,0,0,0,25,32,15,20,1,0,0,0,0,29,4,72,0,0,0,50,-30,0
30,Jesse Longenecker,149546,-5,0,0,0,19,41,12,14,1,0,0,0,0,30,4,72,0,0,0,38,-24,0
30,Andrew Miranda,118426,-5,0,0,0,23,35,14,18,1,0,0,0,0,30,4,72,0,0,0,46,-28,0
30,Adam Hammes,57365,-5,0,0,1,24,28,19,20,1,0,0,0,0,30,4,72,0,0,10,48,-38,0
33,Raven Newsom,88212,-4,0,0,0,0,0,0,0,1,0,0,0,0,33,4,72,0,0,0,0,0,0
33,Linus Carlsson,82098,-4,0,0,0,23,33,16,14,1,0,0,0,0,33,4,72,0,0,0,46,-32,0
33,Corey Ellis,44512,-4,0,0,2,22,30,18,28,1,0,0,0,0,33,4,72,0,0,20,44,-36,0
33,Ezra Robinson,50671,-4,0,0,0,27,30,15,24,1,0,0,0,0,33,4,72,0,0,0,54,-30,0
37,Ezra Aderhold,121715,-3,0,0,2,23,31,16,34,1,0,0,0,0,37,4,72,0,0,20,46,-32,0
38,Teemu Talikainen,155087,-2,0,0,0,17,42,13,8,1,0,0,0,0,38,4,72,0,0,0,34,-26,0
39,Lucas Oberholtzer Hess,90439,-1,0,0,1,18,37,16,14,1,0,0,0,0,39,4,72,0,0,10,36,-32,0
40,Sullivan Tipton,78817,E,0,0,0,0,0,0,0,1,0,0,0,0,40,4,72,0,0,0,0,0,0
40,Andrew Presnell,63765,E,0,0,0,21,37,14,14,1,0,0,0,0,40,4,72,0,0,0,42,-28,0
42,Paul Ulibarri,27171,+1,0,0,0,25,28,19,12,1,0,0,0,0,42,4,72,0,0,0,50,-38,0
42,Matthew Orum,18330,+1,0,0,0,21,34,17,8,1,0,0,0,0,42,4,72,0,0,0,42,-34,0
44,Lenni Kemppainen,96736,+2,0,0,0,19,40,13,12,1,0,0,0,0,44,4,72,0,0,0,38,-26,0
45,Casey White,81739,+4,0,0,0,22,32,18,8,1,0,0,0,0,45,4,72,0,0,0,44,-36,0
46,Jakub Semerád,91925,+8,0,0,0,17,27,10,14,1,0,0,0,0,46,4,72,0,0,0,34,-20,0
47,Colten Montgomery,35876,-1,0,0,0,15,13,8,14,1,0,0,0,0,47,4,72,0,0,0,30,-16,0
47,Daniel Davidsson,76456,-1,0,0,0,11,18,7,8,1,0,0,0,0,47,4,72,0,0,0,22,-14,0
47,Lauri Lehtinen,82297,-1,0,0,0,10,21,5,10,1,0,0,0,0,47,4,72,0,0,0,20,-10,0
50,Jake Monn,98722,E,0,0,0,10,17,9,2,1,0,0,0,0,50,4,72,0,0,0,20,-18,0
50,Luke Humphries,69424,E,0,0,0,12,15,9,6,1,0,0,0,0,50,4,72,0,0,0,24,-18,0
52,Benjamin Callaway,39015,+1,0,0,0,9,17,10,-2,1,0,0,0,0,52,4,72,0,0,0,18,-20,0
52,Jaden Rye,153363,+1,0,0,1,11,13,11,10,1,0,0,0,0,52,4,72,0,0,10,22,-22,0
52,Mason Ford,72844,+1,0,0,0,0,0,0,0,1,0,0,0,0,52,4,72,0,0,0,0,0,0
55,Jake Hebenheimer,43762,+2,0,0,0,11,11,14,-6,1,0,0,0,0,55,4,72,0,0,0,22,-28,0
56,Jonathan Borzick,119794,+3,0,0,0,6,20,10,-8,1,0,0,0,0,56,4,72,0,0,0,12,-20,0
56,Clay Edwards,91397,+3,0,0,0,8,19,9,-2,1,0,0,0,0,56,4,72,0,0,0,16,-18,0
56,Braeden Sides,129963,+3,0,0,0,10,15,11,-2,1,0,0,0,0,56,4,72,0,0,0,20,-22,0
59,Gavin Rathbun,60436,+4,0,0,0,8,15,13,-10,1,0,0,0,0,59,4,72,0,0,0,16,-26,0
59,Joona Heinänen,58926,+4,0,0,2,8,15,11,14,1,0,0,0,0,59,4,72,0,0,20,16,-22,0
59,Paul Krans,132521,+4,0,0,0,0,0,0,0,1,0,0,0,0,59,4,72,0,0,0,0,0,0
59,Drew Gibson,48346,+4,0,0,0,8,20,8,0,1,0,0,0,0,59,4,72,0,0,0,16,-16,0
59,Kyle Krieckhaus,154511,+4,0,0,1,10,15,10,10,1,0,0,0,0,59,4,72,0,0,10,20,-20,0
64,Emmanuel Torres,68986,+5,0,0,0,0,0,0,0,1,0,0,0,0,64,4,72,0,0,0,0,0,0
64,Carter Ahrens,88279,+5,0,0,0,8,19,9,-2,1,0,0,0,0,64,4,72,0,0,0,16,-18,0
64,Eagle McMahon,37817,+5,0,0,2,9,15,10,18,1,0,0,0,0,64,4,72,0,0,20,18,-20,0
67,Dennis Augustsson,98130,+7,0,0,0,10,13,13,-6,1,0,0,0,0,67,4,72,0,0,0,20,-26,0
67,Jeremy Koling,33705,+7,0,0,0,5,19,12,-14,1,0,0,0,0,67,4,72,0,0,0,10,-24,0
67,Robert Burridge,96512,+7,0,0,0,7,20,9,-4,1,0,0,0,0,67,4,72,0,0,0,14,-18,0
67,Kevin Jones,41760,+7,0,0,0,10,15,11,-2,1,0,0,0,0,67,4,72,0,0,0,20,-22,0
67,Ian Burchett,60435,+7,0,0,0,9,15,12,-6,1,0,0,0,0,67,4,72,0,0,0,18,-24,0
67,James Conrad,17295,+7,0,0,0,9,18,9,0,1,0,0,0,0,67,4,72,0,0,0,18,-18,0
73,Cole Redalen,79748,+8,0,0,0,11,11,14,-6,1,0,0,0,0,73,4,72,0,0,0,22,-28,0
73,AJ Carey,61770,+8,0,0,0,9,16,11,-4,1,0,0,0,0,73,4,72,0,0,0,18,-22,0
73,Ryan Monn,144929,+8,0,0,0,0,0,0,0,1,0,0,0,0,73,4,72,0,0,0,0,0,0
73,Nate Doss,11794,+8,0,0,0,10,18,8,4,1,0,0,0,0,73,4,72,0,0,0,20,-16,0
77,Harry Chace,131546,+9,0,0,0,10,13,13,-6,1,0,0,0,0,77,4,72,0,0,0,20,-26,0
78,Lucas Carmichael,151146,+10,0,0,0,7,18,11,-8,1,0,0,0,0,78,4,72,0,0,0,14,-22,0
79,Nestori Tuhkanen,110462,+11,0,0,0,0,0,0,0,1,0,0,0,0,79,4,72,0,0,0,0,0,0
79,Nikko Locastro,11534,+11,0,0,0,7,18,11,-8,1,0,0,0,0,79,4,72,0,0,0,14,-22,0
